alarm_id,incident_description,network_region,technology_type,severity,outage_duration,device_vendor,resolution_notes,timestamp,service_impact,alarm_type,affected_subscribers,resolution_time_minutes,recurrence_count
ALM-2024-00353,Massive MIMO antenna tilt misconfiguration on 29 sector sites in South. SINR degraded by 10 dB causing uplink interference. Capacity reduced by 36% during peak hours. Service degradation reported by enterprise customers using mmWave bands.,Central,MPLS,P3-Medium,94,Ericsson,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2023-09-03T13:54:20,VoLTE,Power Failure,910,98,2
ALM-2024-00368,Battery backup degradation on 19 East BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,West,3G-UMTS,P2-High,74,Ericsson,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 4 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 61 minutes.,2023-09-07T09:10:35,Data Sessions,Config Error,85061,135,0
ALM-2024-00234,PTP/IEEE-1588 grandmaster clock failure in North synchronization hierarchy. Holdover mode activated on 25 slave clocks. Phase error accumulating at 73 ns/s. 5G NR TDD frame alignment at risk after 188 minutes without reference.,South,Fiber,P3-Medium,105,Juniper,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-09-08T06:05:09,"SMS, Data Sessions",Interference,8329,201,3
ALM-2023-00024,Multiple eNodeBs in South showing S1 interface failure after planned maintenance window. MME connection dropped across 11 sites. Cause: BGP route advertisement error on backhaul routers. Subscribers experiencing call drops and data session timeouts in the affected area.,South,4G-LTE,P1-Critical,157,Huawei,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-09-16T15:28:21,"IoT Connectivity, Video Streaming",Power Failure,88192,379,8
ALM-2025-00424,DWDM wavelength drift detected on West fiber span kilometer 123. OSNR degraded below threshold causing FEC errors to spike. Amplifier gain tilt compensation adjusted but optical power margin remains critically low.,Central,SD-WAN,P3-Medium,82,Cisco,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-09-16T23:43:41,Emergency Services,Power Failure,36652,196,3
ALM-2025-00448,Submarine cable EDFA failure causing signal degradation on Central international link. Capacity reduced from 300Gbps to 50Gbps. Traffic rerouted via alternate cable system with 332ms additional round-trip delay.,West,4G-LTE,P4-Low,52,Nokia,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2023-09-17T20:41:14,"SMS, Voice Calls",Config Error,1854,146,2
ALM-2025-00434,BGP route policy misconfiguration in North caused 21K prefixes to be inadvertently withdrawn. Internet traffic blackholed for 455 minutes. Customer escalations: 87359 broadband users reported total connectivity loss.,Central,5G-NR,P3-Medium,65,Cisco,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-09-19T09:44:37,"Voice Calls, Emergency Services",Transport Failure,13822,117,4
ALM-2024-00241,Power supply unit failure in North outdoor macro cell cabinet. Generator backup activated but fuel exhaustion after 379 hours caused site blackout. 4 collocated operators affected. TSSR dispatched for emergency repair.,South,SD-WAN,P4-Low,10,Juniper,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-09-23T04:49:40,"Voice Calls, Video Streaming",Transport Failure,40853,24,8
ALM-2023-00098,GNSS antenna failure on South primary timing reference. Backup BITS/SSU clock source activated. Stratum level degraded from 1 to 3. 17 dependent 5G sites at risk of air interface synchronization failure.,East,3G-UMTS,P1-Critical,234,Ericsson,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-09-23T18:28:44,"SMS, Video Streaming",Link Down,93494,246,8
ALM-2024-00357,GNSS antenna failure on South primary timing reference. Backup BITS/SSU clock source activated. Stratum level degraded from 1 to 3. 9 dependent 5G sites at risk of air interface synchronization failure.,South,SD-WAN,P4-Low,23,Huawei,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-09-24T01:52:01,Enterprise VPN,Capacity Overload,6114,55,4
ALM-2023-00107,GNSS antenna failure on Central primary timing reference. Backup BITS/SSU clock source activated. Stratum level degraded from 1 to 3. 26 dependent 5G sites at risk of air interface synchronization failure.,South,5G-NR,P3-Medium,14,Huawei,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-09-24T07:22:25,Data Sessions,Interference,93642,42,1
ALM-2023-00054,Uplink PRB utilization exceeding 90% on 37 cells in North during peak traffic. Scheduler fairness degraded for edge UEs. Average throughput dropped 46%. Emergency capacity expansion through spectrum refarming initiated.,West,4G-LTE,P1-Critical,110,Juniper,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2023-09-29T12:54:36,"IoT Connectivity, Video Streaming",Capacity Overload,98014,270,4
ALM-2024-00398,BGP route policy misconfiguration in South caused 22K prefixes to be inadvertently withdrawn. Internet traffic blackholed for 457 minutes. Customer escalations: 129626 broadband users reported total connectivity loss.,East,5G-NR,P4-Low,49,Huawei,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-09-30T11:20:24,"Voice Calls, Enterprise VPN, Video Streaming",Config Error,15991,108,3
ALM-2023-00016,MPLS LDP session flap on core router in East causing traffic blackhole for 384 minutes. 39 L3VPN tunnels re-converging after IGP topology change. BGP prefix withdrawal storm affected enterprise customers during reconvergence.,West,4G-LTE,P2-High,90,Ericsson,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2023-10-03T14:03:27,Data Sessions,Power Failure,76646,149,0
ALM-2025-00476,MPLS LDP session flap on core router in Central causing traffic blackhole for 292 minutes. 24 L3VPN tunnels re-converging after IGP topology change. BGP prefix withdrawal storm affected enterprise customers during reconvergence.,North,3G-UMTS,P2-High,167,Juniper,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2023-10-04T10:00:07,"Voice Calls, Video Streaming",Authentication Failure,140825,429,3
ALM-2023-00012,Fiber cut on backbone ring between North hub and metro aggregation node. APS (Automatic Protection Switching) triggered but secondary path showing 172ms additional latency. 21 enterprise circuits and 30714 mobile subscribers affected on dependent transport.,West,MPLS,P2-High,151,Cisco,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2023-10-05T01:34:26,Enterprise VPN,Power Failure,138692,339,6
ALM-2025-00456,LTE carrier aggregation malfunction on Band 3 + Band 7 in East. PDCP layer buffer overflow caused by DRB misconfiguration after software patch HF-3257. 130831 high-value subscribers affected. ARPU impact estimated at $1701K.,Central,Fiber,P4-Low,53,Juniper,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 7 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 320 minutes.,2023-10-05T17:26:30,"Enterprise VPN, Data Sessions",Transport Failure,37564,141,1
ALM-2024-00221,LTE PDCP integrity protection mismatch on Huawei eNodeBs after security patch. UE contexts being dropped at RRC reconfiguration phase. 28 cells impacted in Central. Hotfix deployment required to restore normal operations.,East,Fiber,P4-Low,5,Nokia,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2023-10-08T05:12:27,"Data Sessions, SMS",Software Bug,11974,12,4
ALM-2024-00313,PTP/IEEE-1588 grandmaster clock failure in East synchronization hierarchy. Holdover mode activated on 35 slave clocks. Phase error accumulating at 56 ns/s. 5G NR TDD frame alignment at risk after 178 minutes without reference.,West,5G-NR,P1-Critical,141,Juniper,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2023-10-08T15:13:55,Emergency Services,Hardware Failure,144132,294,1
ALM-2023-00155,Power supply unit failure in North outdoor macro cell cabinet. Generator backup activated but fuel exhaustion after 388 hours caused site blackout. 7 collocated operators affected. TSSR dispatched for emergency repair.,North,5G-NR,P2-High,87,Huawei,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-10-09T01:11:31,SMS,Power Failure,72175,116,0
ALM-2024-00311,LTE carrier aggregation malfunction on Band 3 + Band 7 in North. PDCP layer buffer overflow caused by DRB misconfiguration after software patch HF-3534. 107822 high-value subscribers affected. ARPU impact estimated at $1192K.,West,Fiber,P1-Critical,114,Ericsson,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-10-10T09:06:34,Data Sessions,Sync Loss,124871,132,4
ALM-2025-00488,X2 handover failures between Central eNodeBs and neighboring cluster. Inter-eNB handover success rate dropped to 55%. Ping-pong handover storms observed. SON algorithm override required to stabilize mobility parameters.,South,5G-NR,P2-High,80,Nokia,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-10-11T04:46:05,Data Sessions,Interference,83834,133,2
ALM-2025-00446,PTP/IEEE-1588 grandmaster clock failure in South synchronization hierarchy. Holdover mode activated on 35 slave clocks. Phase error accumulating at 78 ns/s. 5G NR TDD frame alignment at risk after 52 minutes without reference.,West,SD-WAN,P2-High,125,Ericsson,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-10-14T21:49:37,Emergency Services,Interference,145678,322,4
ALM-2025-00494,Battery backup degradation on 43 Central BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,South,SD-WAN,P2-High,144,Huawei,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2023-10-15T04:15:48,"Video Streaming, IoT Connectivity, VoLTE",Interference,1915,363,8
ALM-2025-00484,Battery backup degradation on 24 North BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,West,MPLS,P3-Medium,105,Nokia,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-10-21T21:16:58,"Roaming Services, SMS",Power Failure,46109,210,4
ALM-2025-00495,Power supply unit failure in Central outdoor macro cell cabinet. Generator backup activated but fuel exhaustion after 378 hours caused site blackout. 12 collocated operators affected. TSSR dispatched for emergency repair.,West,3G-UMTS,P1-Critical,119,Nokia,Applied emergency hotfix patch HF-6292 from vendor. Restarted UPF/SMF network functions. Verified PDU session establishment in staging environment before production rollout.,2023-10-24T07:13:03,"Voice Calls, Enterprise VPN, VoLTE",Authentication Failure,44407,253,0
ALM-2023-00122,Multiple eNodeBs in North showing S1 interface failure after planned maintenance window. MME connection dropped across 3 sites. Cause: BGP route advertisement error on backhaul routers. Subscribers experiencing call drops and data session timeouts in the affected area.,Central,4G-LTE,P1-Critical,171,Ericsson,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-10-24T08:20:11,"Enterprise VPN, Emergency Services",Hardware Failure,92591,171,1
ALM-2023-00004,21 gNB nodes in Central region reporting X2 interface failures after firmware upgrade to 22.Q3. UE attach success rate dropped from 98% to 52%. Engineers observed increased RRC connection rejections. Root cause identified as misconfigured AMF pool configuration post-upgrade.,East,MPLS,P4-Low,21,Huawei,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-10-28T02:02:20,Data Sessions,Transport Failure,12295,33,3
ALM-2024-00378,Line card failure on Cisco core router in East data center. Module 11/1 ejected due to ASIC thermal runaway at 85°C. Traffic failover to redundant linecard triggered 198ms packet loss event.,South,4G-LTE,P4-Low,13,Nokia,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-10-29T04:57:04,"SMS, VoLTE, Enterprise VPN",Capacity Overload,2191,22,7
ALM-2024-00239,Fiber cut on backbone ring between Central hub and metro aggregation node. APS (Automatic Protection Switching) triggered but secondary path showing 467ms additional latency. 44 enterprise circuits and 6033 mobile subscribers affected on dependent transport.,South,4G-LTE,P3-Medium,19,Juniper,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-10-30T07:41:51,"Video Streaming, Roaming Services, IoT Connectivity",Interference,95672,26,0
ALM-2023-00143,Fiber cut on backbone ring between Central hub and metro aggregation node. APS (Automatic Protection Switching) triggered but secondary path showing 366ms additional latency. 50 enterprise circuits and 5489 mobile subscribers affected on dependent transport.,Central,5G-NR,P2-High,127,Cisco,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-10-31T09:53:26,"Emergency Services, IoT Connectivity, Enterprise VPN",Config Error,17028,305,1
ALM-2024-00282,ISIS adjacency loss between East P-routers after planned IOS-XR upgrade. SPF recalculation loop detected causing micro-burst packet loss. ECMP paths became unequal triggering traffic imbalance across 8 interfaces.,North,3G-UMTS,P1-Critical,90,Juniper,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-11-02T17:12:56,"Roaming Services, IoT Connectivity, SMS",Hardware Failure,21171,232,6
ALM-2024-00333,Massive MIMO antenna tilt misconfiguration on 15 sector sites in East. SINR degraded by 14 dB causing uplink interference. Capacity reduced by 40% during peak hours. Service degradation reported by enterprise customers using mmWave bands.,East,3G-UMTS,P2-High,116,Huawei,Rolled back firmware to previous stable version 22.Q2. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2023-11-04T15:25:45,"Voice Calls, Video Streaming, Enterprise VPN",Transport Failure,70149,147,6
ALM-2025-00490,Submarine cable EDFA failure causing signal degradation on Central international link. Capacity reduced from 170Gbps to 35Gbps. Traffic rerouted via alternate cable system with 473ms additional round-trip delay.,North,4G-LTE,P3-Medium,76,Nokia,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 8 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 12 minutes.,2023-11-08T12:08:22,"Voice Calls, IoT Connectivity",Link Down,51383,223,1
ALM-2024-00207,X2 handover failures between East eNodeBs and neighboring cluster. Inter-eNB handover success rate dropped to 84%. Ping-pong handover storms observed. SON algorithm override required to stabilize mobility parameters.,Central,3G-UMTS,P2-High,179,Cisco,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-11-09T21:09:04,"Voice Calls, VoLTE, Video Streaming",Interference,91061,387,3
ALM-2025-00426,Massive MIMO antenna tilt misconfiguration on 11 sector sites in North. SINR degraded by 13 dB causing uplink interference. Capacity reduced by 46% during peak hours. Service degradation reported by enterprise customers using mmWave bands.,South,4G-LTE,P4-Low,19,Huawei,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2023-11-10T20:35:32,VoLTE,Config Error,37468,51,1
ALM-2023-00007,DWDM wavelength drift detected on West fiber span kilometer 384. OSNR degraded below threshold causing FEC errors to spike. Amplifier gain tilt compensation adjusted but optical power margin remains critically low.,South,MPLS,P4-Low,41,Juniper,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2023-11-11T04:53:21,"Data Sessions, IoT Connectivity, SMS",Power Failure,38763,42,4
ALM-2024-00396,5G NR SA core network experiencing PDU session establishment failures in West. UPF processing latency spiked to 203ms. Affected 143345 IoT devices unable to connect. SMF logs show session binding errors correlated with UPF software defect #SW-14917.,North,SD-WAN,P3-Medium,102,Nokia,Executed rollback of misconfigured ACL policies via out-of-band management. Implemented pre-deployment validation checks in CI/CD pipeline. Change freeze applied.,2023-11-13T03:04:42,Enterprise VPN,Power Failure,99891,136,7
ALM-2024-00247,Core network signaling storm from 29 IoT devices in West entering simultaneous TAU cycles. MME/AMF overloaded causing 78% attach rejection rate. Emergency rate limiting applied to prevent total core collapse.,West,Fiber,P1-Critical,24,Huawei,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2023-11-21T15:27:03,"Roaming Services, Enterprise VPN",Authentication Failure,140235,28,6
ALM-2023-00197,Uplink PRB utilization exceeding 90% on 28 cells in North during peak traffic. Scheduler fairness degraded for edge UEs. Average throughput dropped 36%. Emergency capacity expansion through spectrum refarming initiated.,West,SD-WAN,P3-Medium,41,Cisco,Executed RF parameter optimization using SON toolset. Adjusted antenna tilt by 7 degrees. Activated neighbor cell load balancing. Service KPIs returned to baseline within 330 minutes.,2023-11-27T02:42:34,Video Streaming,Transport Failure,2840,74,8
ALM-2024-00287,Power supply unit failure in West outdoor macro cell cabinet. Generator backup activated but fuel exhaustion after 340 hours caused site blackout. 30 collocated operators affected. TSSR dispatched for emergency repair.,West,4G-LTE,P3-Medium,36,Ericsson,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2023-11-28T07:24:13,Emergency Services,Transport Failure,41677,85,6
ALM-2024-00236,Core network signaling storm from 14 IoT devices in West entering simultaneous TAU cycles. MME/AMF overloaded causing 61% attach rejection rate. Emergency rate limiting applied to prevent total core collapse.,South,5G-NR,P3-Medium,43,Huawei,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-12-03T00:38:50,"Emergency Services, Enterprise VPN",Link Down,89390,114,3
ALM-2023-00104,CSFB (Circuit Switched Fallback) failure rate spike in South — 66% failure observed. MSC-S unreachable from 36 eNodeBs due to SS7 link congestion. Voice call setup failure affected 139663 subscribers during peak hours.,Central,Fiber,P3-Medium,34,Ericsson,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2023-12-08T07:36:17,Emergency Services,Sync Loss,59605,81,5
ALM-2024-00289,Submarine cable EDFA failure causing signal degradation on Central international link. Capacity reduced from 120Gbps to 47Gbps. Traffic rerouted via alternate cable system with 58ms additional round-trip delay.,Central,5G-NR,P3-Medium,101,Juniper,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2023-12-11T05:18:40,"Data Sessions, Emergency Services, Roaming Services",Authentication Failure,31125,106,2
ALM-2024-00370,Power supply unit failure in South outdoor macro cell cabinet. Generator backup activated but fuel exhaustion after 224 hours caused site blackout. 31 collocated operators affected. TSSR dispatched for emergency repair.,North,MPLS,P3-Medium,33,Huawei,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2023-12-11T15:10:07,"IoT Connectivity, Video Streaming",Capacity Overload,42285,71,8
ALM-2024-00308,X2 handover failures between North eNodeBs and neighboring cluster. Inter-eNB handover success rate dropped to 83%. Ping-pong handover storms observed. SON algorithm override required to stabilize mobility parameters.,Central,3G-UMTS,P3-Medium,87,Ericsson,Rolled back firmware to previous stable version 20.Q4. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2023-12-13T07:51:12,"Voice Calls, Roaming Services, Video Streaming",Capacity Overload,66596,234,6
ALM-2024-00382,Battery backup degradation on 12 West BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,Central,MPLS,P2-High,42,Huawei,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2023-12-14T13:16:34,Enterprise VPN,Capacity Overload,12023,120,8
ALM-2023-00121,ISIS adjacency loss between East P-routers after planned IOS-XR upgrade. SPF recalculation loop detected causing micro-burst packet loss. ECMP paths became unequal triggering traffic imbalance across 23 interfaces.,North,5G-NR,P2-High,27,Nokia,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2023-12-17T09:38:25,"IoT Connectivity, VoLTE",Interference,90918,50,0
ALM-2025-00407,Power supply unit failure in South outdoor macro cell cabinet. Generator backup activated but fuel exhaustion after 312 hours caused site blackout. 35 collocated operators affected. TSSR dispatched for emergency repair.,North,Fiber,P2-High,121,Huawei,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2023-12-18T03:09:14,"IoT Connectivity, Voice Calls",Hardware Failure,20389,187,8
ALM-2024-00375,ISIS adjacency loss between North P-routers after planned IOS-XR upgrade. SPF recalculation loop detected causing micro-burst packet loss. ECMP paths became unequal triggering traffic imbalance across 31 interfaces.,East,Fiber,P4-Low,29,Juniper,Replaced failed hardware component. Ran comprehensive diagnostic tests post-replacement. Updated preventive maintenance schedule and raised spare parts inventory threshold.,2023-12-20T19:18:04,Data Sessions,Transport Failure,2978,49,2
ALM-2023-00005,Uplink PRB utilization exceeding 90% on 32 cells in Central during peak traffic. Scheduler fairness degraded for edge UEs. Average throughput dropped 49%. Emergency capacity expansion through spectrum refarming initiated.,South,3G-UMTS,P2-High,50,Nokia,Re-established PTP synchronization chain using backup grandmaster. Deployed additional GNSS antennas for redundancy. Updated synchronization monitoring dashboards.,2023-12-21T06:52:34,"Enterprise VPN, Data Sessions, Roaming Services",Capacity Overload,94693,130,6
ALM-2023-00033,CSFB (Circuit Switched Fallback) failure rate spike in East — 47% failure observed. MSC-S unreachable from 34 eNodeBs due to SS7 link congestion. Voice call setup failure affected 41999 subscribers during peak hours.,North,SD-WAN,P4-Low,52,Ericsson,Restored fiber cut using emergency splice. Reconfigured DWDM parameters. Implemented enhanced physical layer monitoring with OTDR alerts. SLA credit issued to affected customers.,2023-12-22T08:14:33,SMS,Hardware Failure,4258,127,5
ALM-2024-00345,Battery backup degradation on 16 East BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,North,3G-UMTS,P2-High,38,Cisco,Applied emergency hotfix patch HF-4156 from vendor. Restarted UPF/SMF network functions. Verified PDU session establishment in staging environment before production rollout.,2023-12-28T00:03:52,"IoT Connectivity, Roaming Services, Data Sessions",Capacity Overload,54415,70,8
ALM-2023-00099,Multiple eNodeBs in West showing S1 interface failure after planned maintenance window. MME connection dropped across 29 sites. Cause: BGP route advertisement error on backhaul routers. Subscribers experiencing call drops and data session timeouts in the affected area.,South,5G-NR,P3-Medium,80,Nokia,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2023-12-28T02:50:24,"VoLTE, IoT Connectivity",Capacity Overload,43096,179,6
ALM-2023-00135,49 gNB nodes in East region reporting X2 interface failures after firmware upgrade to 23.Q1. UE attach success rate dropped from 98% to 52%. Engineers observed increased RRC connection rejections. Root cause identified as misconfigured AMF pool configuration post-upgrade.,West,MPLS,P1-Critical,77,Ericsson,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2023-12-29T02:04:19,"Video Streaming, SMS, Enterprise VPN",Sync Loss,22664,227,5
ALM-2025-00411,LTE PDCP integrity protection mismatch on Huawei eNodeBs after security patch. UE contexts being dropped at RRC reconfiguration phase. 32 cells impacted in East. Hotfix deployment required to restore normal operations.,East,MPLS,P1-Critical,122,Cisco,Applied emergency hotfix patch HF-6606 from vendor. Restarted UPF/SMF network functions. Verified PDU session establishment in staging environment before production rollout.,2023-12-31T20:00:41,VoLTE,Transport Failure,167041,205,1
ALM-2023-00133,CSFB (Circuit Switched Fallback) failure rate spike in West — 71% failure observed. MSC-S unreachable from 28 eNodeBs due to SS7 link congestion. Voice call setup failure affected 5334 subscribers during peak hours.,South,Fiber,P3-Medium,71,Cisco,Rolled back firmware to previous stable version 22.Q1. Reconfigured AMF pool settings per vendor guidelines. Performed progressive site-by-site upgrade with validation checkpoints. Full service restored.,2024-01-03T09:12:49,IoT Connectivity,Software Bug,40996,91,7
ALM-2024-00383,LTE PDCP integrity protection mismatch on Nokia eNodeBs after security patch. UE contexts being dropped at RRC reconfiguration phase. 3 cells impacted in North. Hotfix deployment required to restore normal operations.,South,Fiber,P3-Medium,114,Huawei,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2024-01-04T11:15:49,IoT Connectivity,Transport Failure,7186,128,2
ALM-2023-00116,11 gNB nodes in Central region reporting X2 interface failures after firmware upgrade to 23.Q2. UE attach success rate dropped from 98% to 66%. Engineers observed increased RRC connection rejections. Root cause identified as misconfigured AMF pool configuration post-upgrade.,Central,MPLS,P3-Medium,108,Cisco,Restarted affected network function instances. Applied configuration correction. Root cause analysis completed and design fix scheduled for next maintenance window.,2024-01-06T02:22:54,"Voice Calls, Data Sessions",Transport Failure,82210,268,2
ALM-2025-00479,Multiple eNodeBs in East showing S1 interface failure after planned maintenance window. MME connection dropped across 31 sites. Cause: BGP route advertisement error on backhaul routers. Subscribers experiencing call drops and data session timeouts in the affected area.,West,4G-LTE,P3-Medium,105,Cisco,Implemented emergency traffic offload through carrier WiFi and small cell densification. Activated additional spectrum through dynamic frequency assignment. Permanent capacity upgrade planned.,2024-01-08T02:03:36,"Video Streaming, Data Sessions, Roaming Services",Interference,19449,106,2
ALM-2023-00006,Battery backup degradation on 40 South BTS sites. Float charge voltage below threshold causing premature cutoff during grid outage. Preventive maintenance schedule requires immediate overhaul of UPS systems.,West,SD-WAN,P3-Medium,68,Ericsson,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2024-01-09T23:45:33,"Emergency Services, VoLTE",Software Bug,44200,159,8
ALM-2023-00057,MPLS LDP session flap on core router in South causing traffic blackhole for 411 minutes. 4 L3VPN tunnels re-converging after IGP topology change. BGP prefix withdrawal storm affected enterprise customers during reconvergence.,East,5G-NR,P1-Critical,89,Cisco,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2024-01-11T04:23:22,"Data Sessions, SMS, Emergency Services",Authentication Failure,126457,233,7
ALM-2023-00148,Multiple eNodeBs in East showing S1 interface failure after planned maintenance window. MME connection dropped across 15 sites. Cause: BGP route advertisement error on backhaul routers. Subscribers experiencing call drops and data session timeouts in the affected area.,South,SD-WAN,P1-Critical,178,Nokia,Restored BGP route advertisements on backhaul routers. Reset SCTP associations to AMF. Implemented route dampening to prevent future flapping. Added monitoring alerts for BGP state changes.,2024-01-13T09:45:43,"Emergency Services, SMS",Sync Loss,37174,259,0
